id,sn
VERAS,0
PIETRO,0
SANCHES,0
MAXIMO,0
ISABELA,0
CLARO,0
PRIMO,0
TITO,0
RUFINO,0
LUANA,0
FRAGOSO,0
SOLANGE,0
FALCAO,0
HONORIO,0
CAMARGO,0
MONICA,0
IVAN,0
CONRADO,0
MAIARA,0
POLIANA,0
